"","ï..","Search","Title","Location","Company","Salary","Summary","Post_Date","Link","description"
"397",396,"Business Analyst","Digital Insights Analyst","Melbourne VIC","FourQuarters","$145,000 a year","None","9 days ago","https://www.indeed.com/rc/clk?jk=d1da6b005e252d93&fccid=3c9bc1385272ea26&vjs=3","
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'aboveFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                Excellent opportunity to help shape strategy and improve business performance
You must have solid Adobe Analytics skills
Business-facing role with direct engagement with senior stakeholders

Digital Insights Analyst required to provide performance and channel insights within a leading retail business. As a Digital Insights Analyst, you will be responsible for:liaising with the business to deliver an automated analytics reporting framework to capture data around digital performance
using data and insights to identify opportunities to improve customer experience and conversion
influencing the development of digital channel strategy
This is an exciting opportunity to work in a business-facing capacity to provide actionable insights which will help shape future strategy.
In order to be considered for this role, you must have:extensive experience working in a Digital Analytics function
excellent experience using the Google or Adobe product suite
a solid background drawing actionable insights from data
strong experience liaising with and presenting to senior business stakeholders.
If this role sounds of interest to you, please send your resume by clicking on the 'Apply' button, or call Sabina Ahuja on (03)99828478
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'belowFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                "
"398",397,"Business Analyst","Workday Test Analyst","Melbourne VIC","Certus Recruitment Group","$680 - $720 a day","None","30+ days ago","https://www.indeed.com/company/CERTUS-RECRUITMENT-GROUP/jobs/Workday-Test-Analyst-3bdd584dffdbabed?fccid=d26f9107e20bc03f&vjs=3","
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'aboveFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                Workday Test AnalystMelbourne SE8 Month Contract (Potential to Extend)$680-720Our client, a leading name in the APAC retail space has an urgent contract opening for a Workday Test Analyst to be based in Melbourne.As a Workday Test Analyst, your duties will include:Lead detailed planning activities for architecting, configuration and testingLead HR process design activities and coordinate across other teamsLead in the design and configuration of the Workday prototypesConduct unit testing and support system testingDevelop and manage testing strategy and approach for unit, system, integration and user acceptance testingManage testing scorecards, defect tracking and defect resolutionManage development and review of Workday related integrations, conversions and reports etc.Desired Experience:Workday testing experienceEnterprise environmentsWorkday HCM ModulesSolid communication skillsAgileLeadershipTime and organisational managementCertus Recruitment Australia is a specialist provider of sales, marketing and IT recruitment services to the business community. Part of the Certus Recruitment Group, we operate throughout the UK, Europe and Australia.Reference ID: 634701Contract length: 8 monthsJob Types: Full-time, ContractSalary: $680.00 to $720.00 /day
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'belowFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                "
"399",398,"Business Analyst","Test Analyst (Mobile / Android Apps)","Melbourne VIC","Pactera Technologies Australia","None","None","8 days ago","https://www.indeed.com/rc/clk?jk=c5d300dcf068216e&fccid=4e1fddd498d39df9&vjs=3","
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'aboveFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                Entry level role to software testing for IOS and android applications
Fixed term contract to start ASAP in Melbourne (WFH initially due to COVID-19)
Mandarin Language skills a MUST
Test Analyst (Mobile / Android Apps)Entry level role to software testing for IOS and android applications
Looking to secure your next role where you will work in a collaborative team environment?
Fixed term contract to start ASAP in Melbourne
Flexibility to travel for work a must
About Us
Pactera is a leading digital consulting and technology services firm delivering world-class solutions to customers since 1995 and has shared many customer successes. We are more than a technology company. Pactera is a global organisation of relationship builders and digital visionaries.
We take pride in establishing lasting partnerships with our global clients to create value and accelerate their digital transformation journey via offerings across a number of areas that include Analytics and Business Intelligence, Technology Solutions, DevOps, Consulting, Operations, Managed Services and Business Process outsourcing.About the RoleReporting to the Test Lead, as a Test Analyst you will be working as part of a small project based in our Melbourne office supporting a key client and ongoing project across testing efforts for mobile and automotive applications for both both iOs and Android platforms.

Key responsibilities for this role include:Manual testing
Review and test functionality of app across iOS and android devices
Participate in field testing
Write test cases and raise defects
Flexible to work across a number of time zones to support testing effort
About You

YouEnjoy or have an interest software testing
Able to communicate effectively with colleagues as well as customers
Driven by results and improving performance
Have proven experience working efficiently and collaboratively in a team environment.
Highly organized and can deliver in a collaborative remote team setting.
Bi lingual – native mandarin speaker and English skills
Able to travel for field testing locally, interstate and overseas

If you are looking to develop your skill-set to work as part of our project in an on / offshore model from Melbourne, send in your application for immediate consideration!Essential:Bachelor's degree or higher in a quantitative/technical field (e.g. Computer Science, Information Systems, Engineering).
Can do Attitude
Results orientation – ability to identify issues and solutions focus
Able to follow process and ensure quality outcomes for repetitive tasks
Desirable:2 years test experience
Knowledge or testing experience with RF scanners
Good understanding of full SDLC
Benefits and Culture
Pactera is committed to creating a diverse and inclusive workplace. All suitably qualified applicants will receive equal and fair consideration for employment. Pactera offers contractors and employees a collaborative work environment that rewards initiative and team success.
Pactera is an equal opportunity employer. Visit our website www.pactera.com for more information. Applicants should have valid work rights for Australia. If sponsorship is required, please advise.
To register your interest and for immediate consideration, please send in your application via the link below. If including a letter of introduction, please quote Job reference Test Analyst_iOS and Android
Pactera are hiring directly. No agency referrals please.
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'belowFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                "
"400",399,"Business Analyst","Level 2/3 Technical Support Analyst","Melbourne VIC","Profusion Group","$75,000 - $85,000 a year","None","22 days ago","https://www.indeed.com/rc/clk?jk=d5f08a0d2d7531f5&fccid=34aeee3382b744b8&vjs=3","
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'aboveFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                Prestigious global finance company
High performing, collaborative Service Desk environment
Career defining position working with great technology & people

Profusion is excited to have partnered with a highly regarded, global finance giant who is a real leader in the sector.
They have an immediate need for a Technical Support Analyst with strong communication skills and “customer comes first attitude” to join their onsite team.

Reporting to the IT Support Team Manager, this role requires an experienced Analyst to hit the ground running in a busy but very well-structured and very well-supported team environment. You will be responsible for supporting and maintaining the end-user computer fleet including laptops, desktops, thin clients, tablets and mobile devicesRole Overview
You will work within and contribute to a high performing team, providing excellence in customer service.Build and maintain End Users computers and devices
Provide assistance and technical support to users
Maintain assets and asset tracking system
Resolve any technical issues and update issues register
Build relationships with internal business users
To be successful in this role, you will have:2+ Years Desktop/IT Support Experience
Excellent experience with Microsoft SCCM,
Strong Desktop Imaging and Mobile Device Management
Windows, Mac and Office 365 experience
Finance, Banking, Investments or Superannuation experience desirable
Strong client relationship and rapport building skills
Excellent communication and customer service
Ability to work autonomously towards deadlines
Understanding of the ITIL Framework
What’s on offer
In this exciting permanent role, you be working with various technology experts in a highly collaborative environment that fosters personal growth, career development and has an excellent social environment.
Discount financial products and services as well as other non financial perks available.
Due to the background check requirements only Australian Citizens or Permanent Residents can be considered.
(Please note, only suitable candidates will be contacted).
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'belowFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                "
"401",400,"Business Analyst","Commercial Analyst","Melbourne VIC","Sharp & Carter","$90,000 - $110,000 a year","None","17 days ago","https://www.indeed.com/rc/clk?jk=2afd8cde1a5bc815&fccid=f8f9bb2af86e4fd7&vjs=3","
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'aboveFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                CBD Location
Commercially focused role
High-caliber teamCBD Location
Commercially focused role
High-caliber team
The Role
Reporting to the Head of Commercial, you will provide effective finance business partnering support to the Commercial Finance Managers and the Sales teams within the commercial division. A key part of your role will be to also provide on-going value-add analysis at the customer market level to support optimal product and market mix and sales channel decisions. The responsibilities will include but not be limited to the following.Provide finance business partnering support to the Sales and Commercial Managers
Preparation of monthly management results packs focusing on sales, market overheads and KPI reporting
Develop regular and ad hoc analysis of business results to assist in business decisions
Analyse cost trends and identify opportunities for improvement for management consideration
Monitor and report on Product mix and market pricing directions to support the creation of increased value and optimal product mix decisions
Assist in preparation of budgets for the Domestic Retail portfolio and assist with Commercial Group budgets
Support and implement improvements in analysis, commentary and forecasting/budgeting
Work with the commercial group team to ensure that all requirements for reporting, forecasting and budgeting are understood and met
Provide timely information to support and improve the forecasting process
Actively engage with, and build strong business relationships with stakeholders across the business
Ad hoc projects and duties as required by the Commercial team
The Organisation
This large, blue chip corporate is a pillar of the Australian corporate landscape, with a suite of household brand name products. It has grown both organically and through acquisition, and boasts a broad, diversified asset portfolio and a large customer base.The Candidate
You are CA/CPA qualified, ideally having compiled an impressive track record and reputation as a high achiever in analytical and commercial environment. You have advanced level financial modelling skills and strong experience in a Sales focused environment and proven experience managing effective stakeholder relationships. You are a big picture thinker who is able to reason at a conceptual level, while still maintaining a strong attention to detail. You have the confidence and credibility to engage effectively and build relationships with senior executives and manage staff, and can effectively manage multiple priorities, remaining poised and efficient under pressure.
To apply online, please click on the appropriate link below. Alternatively, for a confidential discussion, please contact Amanda Kalansuriya. For other positions advertised by Sharp & Carter please go to www.sharpandcarter.com.au
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'belowFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                "
"402",401,"Business Analyst","Performance Test Analyst","Melbourne VIC","Araza","None","None","6 days ago","https://www.indeed.com/rc/clk?jk=04e8281e85a9d459&fccid=7da492f7ba6b6eb1&vjs=3","
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'aboveFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                Who is Araza:
Araza is a leading Australian based consulting and services organisation. We partner with our clients to improve their business performance through the implementation and delivery of business and technology projects.
Our people are our biggest asset and we want to continue building on our success.
At the beginning of the business in 2013, it was our mission to build an IT consulting firm that was GREAT.
In 2020 we are still working hard at being great. With more than 300 consultants Australia wide (and counting), we are proud to be a consulting firm that is growing fast, focused on outcomes and still in touch with our values.Performance Test Analyst
In this role you will be responsible for:Collaborating with test analysts, business analysts and SME's to ensure Performance Testing requirements are validated
Designing, documenting and executing automated performance test scripts
Designing, documenting, managing and executing manual test cases, sets, and suites
Working in cross-functional project teams using multiple delivery methodologies
Creating hardware and software Performance Testing frameworks
Aiding Testing Strategy design, execution and governance
Providing technical expertise to project teams related to Performance Testing
Aiding in the gathering of operational metrics
Contributing to the continuous improvement of test quality by undertaking reviews and recommending improvements
To be successful in this role you will have:Application Performance Testing experience
Network/Infrastructure Performance Testing experience
Cloud Testing experience
Experience using industry standard testing tools:
ALM
JMeter
LoadRunner
Selenium
Perl
Intermediate SQL scripting
Australian citizenship
What we give to you: (It’s pretty simple, but not common)A company that cares for their people.
Gender equity, in both roles and remuneration throughout the organization
Truly talented, switched on and collaborative team members that help each other to succeed.
We have countless events throughout the year from weekly lunches, Araza women presents, Araza Fit, Araza Red (donate blood), Araza Nerds and our end of year celebrations.
If Araza has caught your interest, then please apply now. We would love to meet you and tell you more about our amazing company.
***We thank you in advance for your application and advise that only candidates that meet the position requirements and have Australian working rights will be contacted.***
Please click on the APPLY NOW tab and send through an updated copy of your resume detailing recent relevant experience
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'belowFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                "
"403",402,"Business Analyst","SAP BI Analyst","Melbourne VIC","Sapture International","None","None","21 days ago","https://www.indeed.com/rc/clk?jk=e669428c40a68751&fccid=af468208c8efd342&vjs=3","
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'aboveFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                SAP S/4 HANA BI experience required
Microsoft BI experience preferred
Established SAP client

An SAP BI Analyst is required for a contract to permanent opportunity in Melbourne. This is within an SAP environment, with an element of Microsoft BI. Initially a contract role until July, this role is likely to go permanent in the new financial year.
Day to day:Prepare for and run business process workshops related to reporting and analytics
Document reporting and analytics
Configure SAP S/4 HANA analytics including data models, ETL and reporting tools Business Objects WebI, Lumira, SAP Analytics Cloud, Power BI etc.
Provide support to all testing activities for the SAP reporting and analytics solution
Provide expertise and leadership in the design and build of SAP S/4HANA reporting and analytics solutions
About you:Deep understanding of SAP HANA in-memory technology, columnar database, and innovations.
Expertise in building performance efficient complex data models on SAP using a variety of non-SAP data sources.
Ability to understand complex requirements and architect of end to end analytics solutions comprising of ETL, HANA, and reporting components.
Hands on experience with CDS views, calculation views, HANA SQL, security using analytical privileges.
Microsoft Platform knowledge on Azure, Power BI, SQL Server, the Microsoft BI and hybrid/cloud stack is preferred
Data warehouse solution architecture
Business process analysis and modelling
Documentation (business focused, technology focused, and project focused)

If this sounds like the role for you, apply now!
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'belowFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                "
"404",403,"Business Analyst","Investor Relations Coordinator","Melbourne VIC","LiveTiles","None","None","1 day ago","https://www.indeed.com/rc/clk?jk=a43cb25ee96f11c4&fccid=0d85b9006db28755&vjs=3","
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'aboveFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                LiveTiles is a hyper-growth, global software company headquartered in Melbourne with operations throughout Australia, United States, Denmark, Ireland, the Netherlands and Switzerland. We believe that the world is a better place when humans are free to do their best work, so we focus on smart solutions that enable people to focus on the work that matters most. We have developed an Intelligent Workplace platform with virtual assistants, clever analytics, an intranet and other workplace AI that is positively changing how people work. We have a close-knit team comprised of highly talented, passionate, and collaborative people. We strive to be at the forefront of our industry while maintaining a fun and open environment for our team.
We are looking for an Investor Relations (IR) Coordinator to join our growing team based in Australia to drive the IR strategy for LiveTiles. This opportunity is currently a part-time position with flexible hours and working conditions.
Position Overview:
The Investor Relations Coordinator will be responsible for assisting in leading the management, development, coordination, and communication of investor relations activities at LiveTiles.
The Investor Relations Coordinator will produce and deliver effective two-way financial communication between the company and the investment community. The position will provide corporate finance and marketing activity communication to existing and potential investors via an accurate portrayal of the Company's performance and prospects. This will be a highly visible position for an individual who demonstrates strategic and analytic thinking, confidence, financial acumen, creativity, effective communication skills and collaboration. Reporting to the CEO, the Investor Relations Coordinator will be the Company's primary point of contact for members of the financial community, including institutional investors and security analysts.
Essential Duties and Responsibilities:
Serve as the primary spokesperson for the Company by communicating the Company's financial and operational performance and business outlook to current and potential investors;
Manage the Company's relationships with institutional investors by providing clear, accurate and confident communications;
Responsible for coordinating, creating and delivering all investor relations materials, including earnings releases, ASX announcements, investor conferences and investor roadshows;
Provide feedback and insight to senior and operations management on investor sentiment and industry conditions;
Analyze reports prepared by the investment community concerning LiveTiles and comparable companies and provide competitive intelligence to senior management.
Additional Skills and Abilities:
Ability to communicate business strategies and complex financial information clearly and accurately to a variety of audiences both orally and through written material
Knowledge or expertise in SaaS market and valuation
Proven ability to create and analyze financial models to analyze company performance relative to analyst and investor models and to effectively position the Company among its competitors
Collaborate effectively with senior management to ensure the effective, accurate and efficient two-way flow of information
Must have strong verbal and written communication skills, be self-motivated and a self-starter with excellent time management skills
High degree of independent judgment and ability to handle confidential and sensitive information;
Ability to work in a fast-paced environment with flexible work hours as needed to meet tight deadlines;
At least 3 years of experience in similar role
LiveTiles is an equal opportunity employer and we value diversity at our company. We do not discriminate because of your race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.
mTCqm3k9Vo
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'belowFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                "
"405",404,"Business Analyst","Data Visualization/Analytics Teaching Assistant - Monash Uni...","Melbourne VIC","Trilogy Education","None","None","30+ days ago","https://www.indeed.com/rc/clk?jk=210958da4f54a38f&fccid=44e83bef98759943&vjs=3","
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'aboveFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                Trilogy Education partners with universities to offer programs in Web Development, Cybersecurity, UX/UI Design, Digital Marketing, Financial Technology, and Data Analytics. Our platform combines a market-driven curriculum, robust career services, and a multinational community of universities, instructors, and employers to prepare adult learners for careers in the digital economy.
The Job:
Trilogy Education is seeking a Data Analytics professional who has a passion for making a difference. Our students have a diverse background, from working professionals to fresh-out-of-college people, who seek to transition into careers in Big Data. Teaching Assistants will have a direct hand in changing the lives of our students.

Why teach with us?

Teaching Assistants help Instructors to lead classroom discussions, emphasize the meta-skills and core concepts, support students in their projects and challenges, and provide feedback to students.

You don't need to have a ton of experience with teaching! You just have to be a lifelong learner, proven teacher or mentor, or love to help people change their lives to succeed.
What You Will Do:Take attendance at the start of class
Assist the Instructor with class time maintenance
Walk around the class during code activities and projects to assist students
Research and answer student questions when the Instructor is unable to
Grade homework assignments
What makes you a great fit:Familiarity with the following:
Python Programming
------------------
Python
NumPy
Pandas
Matplotlib

Databases
---------
MySQL
MongoDB

Business Intelligence Software
------------------------------
Tableau

Advanced Topics
---------------
Big Data Analytics with Hadoop
Machine Learning
Recommended but not required (Nice to have):
Front End Web Visualization
HTML
CSS
Bootstrap
JavaScript Charting
D3.js
Logistics:24-week program
Mon/Wed/Sat OR Tue/Thu/Sat Schedule
Weekday Classes: 5:45pm - 10pm (includes office hours and break)
Saturday Classes: 9:30am - 2:30pm (includes office hours and lunch break)

Pay is commensurate with experience for this contract role.
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'belowFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                "
"406",405,"Business Analyst","Threat Intelligence Analyst","Melbourne VIC","Aurec","None","None","7 days ago","https://www.indeed.com/rc/clk?jk=b4bcb6bcd03a9938&fccid=73064d8533821f6b&vjs=3","
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'aboveFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                Broad scope of work
Work for one of Australia's most recognisable brands
Competitive salary on offer
Working for a large international business as a Threat Intelligence Analyst. This is a permanent opportunity and offers a broad scope of work.
Your duties will include:
Provide initial analysis of security intelligence feeds
Stay up to date with current and upcoming security threats
Hunting for indicators for compromise using various toolsets
Provide communication and escalation to the Senior Threat Intel Analyst for severe intelligence findings
Analyse and recommend detection and protection strategies against vector attacks such as bobnets and advanced persistent threats (APTs)
Assist the Senior Threat Intel Analyst in the design and management of security Use Cases and cyber security intelligence processes and procedures
Takes an active part in the gathering, analysis and communication of threat intelligence through the intelligence process
Legal and regulatory compliance
Some of the requirements include:
Minimum 3 years' experience in a similar role within Cyber Operations
Good communication skills with an ability to explain complex technical issues to non-technical stakeholders
Hands of experience with Azure or Azure Cloud Security Services and Practices
Strong overall knowledge of application security vulnerabilities, network and web related protocols, phishing, malware, hacktivism and security intelligence threats
Excellent written skills with demonstrated ability to write procedures, playbooks, operational reports and formal internal/external communications
Holders of the following Industry certifications highly desired but not essential:

GSEC
GCED
GCIH
GCIA
CISSP
If you would like to know more about this opportunity, please feel free to call Aaron Staunton on 03 8625 0409.
BBBH44657_158822184044653
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'belowFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                "
"407",406,"Business Analyst","Investment Analyst","Melbourne VIC","FourQuarters","None","None","30+ days ago","https://www.indeed.com/rc/clk?jk=a4fd80b322f31b54&fccid=3c9bc1385272ea26&vjs=3","
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'aboveFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                Direct Investments
Multi-Asset Class
Exciting Opportunity for a True Investor
Investment AnalystOur Client
FourQuarters are currently exclusively engaged for a leading investment firm, with over $1bn FUM based in Australia. With a long track record of delivering superior absolute risk adjusted returns, the firm invests across both listed and alternative private capital markets.Key ResponsibilitiesSupport the Directors across the business in originating outstanding investment opportunities/ideas across both listed and private capital markets, with a focus on private alternative assets. This could include either debt or equity investments in SMEs, listed companies, financial or real assets, and property.
Build relationships with market participants and intermediaries, including brokers, private equity, investment banks, accountants, advisors, analysts and industry experts.
Undertake due diligence on prospective new investments, including reviewing confidential information memorandums, legal documentation, and preparing industry and competitive research analysis.
Perform financial statement forensic analysis and build detailed company valuation models.
Input into the team’s asset allocation and specific investment decision making process.
Monitoring listed market valuations at a stock and industry level and comparing to private markets.
Ongoing surveillance and coverage of existing investments, including meeting company management, reviewing management and financial accounts, updating financial models, reviewing legal documentation, and updating company valuations.
Key RequirementsStrong people and networking skills
Commercial acumen and negotiating skills
Inquisitive nature
General financial analysis
Strong financial modelling skills
Experience
This is an Investment Analyst role, with the candidate likely to have gained 3-6 years relevant experience in a corporate advisory/valuation, buy-side/sell-side analyst, private equity, or corporate strategy role.
If interested in this role please apply directly or alternatively feel free to contact Adam Cluett on 03 9982 8485 or acluett@fourquarters.com.au
#LI-ADAMC
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'belowFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                "
"408",407,"Business Analyst","FinSim Analyst/ Tester","Melbourne VIC","Powerdata Group Consulting","None","None","14 days ago","https://www.indeed.com/rc/clk?jk=207dad0fd97ac2b2&fccid=7f3c19acea2fc84b&vjs=3","
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'aboveFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                Open to: AU Perm Residents and CitizensFinSIM Speciaist TesterRole Description
Provide expertise in the planning, constructing and execution of test scripts.
Apply business and functional knowledge including testing standards, guidelines, and testing methodology to meet the teams overall test objectives.
Ensure all testing results are easily accessible and understandable.
Track defects to closure and keep defect repository up-to-date.
Must-Have Skills :
ACI Payment Systems / FinSim
3+ years testing
Credit card automation testing
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'belowFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                "
